TEAM_ID,OBJECT,MISSION_TIME,PACKET_CNT,ALTITUDE,PRESSURE,SPEED,TEMP,VOLTAGE,HEADING,SOFTWARE_STATE
6159,CONTAINER,1,1,36,103,32,23,1.822630140213156,4,5
6159,CONTAINER,2,2,320,107,36,24,3.0907418179391524,0,2
6159,CONTAINER,3,3,48,108,33,29,2.691007621179235,2,3
6159,CONTAINER,4,4,374,109,39,28,5.75093036154632,2,5
6159,CONTAINER,5,5,199,116,36,29,5.109867264352067,3,1
6159,CONTAINER,6,6,241,103,32,29,1.0031273393516997,3,4
6159,CONTAINER,7,7,18,103,36,28,4.663815458440304,4,3
6159,CONTAINER,8,8,368,105,38,31,1.5586856917245315,0,7
6159,CONTAINER,9,9,314,101,33,25,5.934444748299156,2,6
6159,CONTAINER,10,10,360,117,40,22,7.949288463787244,2,2
6159,CONTAINER,11,11,365,119,38,22,3.4171623083240856,0,5
6159,CONTAINER,12,12,243,107,35,24,2.4015031187420863,3,2
6159,CONTAINER,13,13,113,113,31,25,4.750078410208568,5,2
6159,CONTAINER,14,14,361,102,37,28,6.884472522016583,9,3
6159,CONTAINER,15,15,348,107,35,32,6.047757589227499,7,1
6159,CONTAINER,16,16,40,103,30,24,1.8909536290559714,2,4
6159,CONTAINER,17,17,245,106,37,27,7.1205066910183445,0,1
6159,CONTAINER,18,18,224,113,31,26,7.519649558722737,6,6
6159,CONTAINER,19,19,141,109,40,22,5.800120614922344,3,3
6159,CONTAINER,20,20,121,117,31,24,1.7523161661282831,3,4
6159,CONTAINER,21,21,371,102,31,32,5.577120439153759,3,3
6159,CONTAINER,22,22,290,104,36,32,3.157137618051915,8,6
6159,CONTAINER,23,23,46,104,34,30,4.934416972416009,6,3
