TEAM_ID,OBJECT,MISSION_TIME,PACKET_CNT,ALTITUDE,PRESSURE,SPEED,TEMP,VOLTAGE,HEADING,SOFTWARE_STATE
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
6159,CONTAINER,6,1,0.7,0.0,0.0,32.6,8.94,0.0,1
6159,CONTAINER,7,2,2.0,0.0,0.0,325.0,8.83,0.0,1
6159,CONTAINER,8,3,1.7,0.0,0.0,32.6,8.87,0.0,1
6159,CONTAINER,9,4,1.3,0.0,0.0,32.6,8.91,0.0,1
6159,CONTAINER,10,5,1.9,0.0,0.0,32.6,8.93,0.0,1
6159,CONTAINER,11,6,2.0,0.0,0.0,32.6,8.93,0.0,1
6159,CONTAINER,12,7,1.4,0.0,0.0,32.6,8.94,0.0,1
6159,CONTAINER,13,8,1.7,0.0,0.0,32.6,8.92,0.0,1
6159,CONTAINER,14,9,1.5,0.0,0.0,32.6,8.93,0.0,1
6159,CONTAINER,14,9,1.5,0.0,0.0,32.6,8.93,0.0,1
6159,CONTAINER,14,9,1.5,0.0,0.0,32.6,8.93,0.0,1
6159,CONTAINER,14,9,1.5,0.0,0.0,32.6,8.93,0.0,1
6159,CONTAINER,14,9,1.5,0.0,0.0,32.6,8.93,0.0,1
6159,CONTAINER,23,18,1.1,0.0,0.0,32.7,8.92,0.0,1
6159,CONTAINER,24,19,1.0,0.0,0.0,32.7,8.92,0.0,1
6159,CONTAINER,25,20,1.2,0.0,0.0,32.7,8.92,0.0,1
6159,CONTAINER,26,21,1.6,0.0,0.0,32.6,8.92,0.0,1
6159,CONTAINER,27,22,2.8,0.0,0.0,32.6,8.89,0.0,1
6159,CONTAINER,28,23,1.4,0.0,0.0,32.7,8.89,0.0,1
6159,CONTAINER,29,24,1.4,0.0,0.0,32.7,8.88,0.0,1
6159,CONTAINER,30,25,0.8,0.0,0.0,32.7,8.85,0.0,1
6159,CONTAINER,31,26,0.3,0.0,0.0,32.7,8.84,0.0,1
6159,CONTAINER,32,27,0.3,0.0,0.0,32.7,8.89,0.0,1
6159,CONTAINER,33,28,0.4,0.0,0.0,32.7,8.89,0.0,1
6159,CONTAINER,34,29,0.6,0.0,0.0,32.7,8.89,0.0,1
6159,CONTAINER,35,30,0.1,0.0,0.0,32.7,8.89,0.0,1
6159,CONTAINER,36,31,0.5,0.0,0.0,32.7,8.88,0.0,1
